time,sym,bid,ask,bidSize,askSize
0D20:15:19.252786000,x1,99.97558,100.0558,358,353
0D20:15:19.252791000,x1,99.90437,100.0793,290,404
0D20:15:19.283170000,x3,299.9878,300.021,34,7
0D20:15:19.283175000,x3,299.9233,300.0263,243,116
0D20:15:19.592895000,x1,99.90565,100.0861,443,53
0D20:15:19.592912000,x1,99.90598,100.0663,198,49
0D20:15:19.682590000,x2,199.9848,200.0704,416,255
0D20:15:19.682599000,x2,199.9642,200.0101,247,472
0D20:15:19.842709000,x1,99.95839,100.0047,348,258
0D20:15:19.842721000,x1,99.92426,100.029,153,219
0D20:15:20.333591000,x1,99.99168,100.0092,159,151
0D20:15:20.333600000,x1,99.96432,100.0452,466,75
0D20:15:20.432391000,x1,99.94143,100.0218,460,138
0D20:15:20.432397000,x1,99.93103,100.0007,191,222
0D20:15:20.653376000,x2,199.9755,200.0624,100,49
0D20:15:20.653394000,x2,199.9253,200.0156,443,330
0D20:15:20.663253000,x1,99.94759,100.0612,331,360
0D20:15:20.663270000,x1,99.9147,100.0887,326,69
0D20:15:20.833147000,x1,99.94942,100.0167,207,70
0D20:15:20.833164000,x1,99.98912,100.0533,219,125
0D20:15:20.932520000,x2,199.9214,200.0822,457,431
0D20:15:20.932530000,x2,199.9588,200.0231,485,275
0D20:15:20.943562000,x2,199.9675,200.0724,408,135
0D20:15:20.943571000,x2,199.9717,200.0992,456,428
0D20:15:21.152361000,x2,199.9401,200.0084,424,352
0D20:15:21.152369000,x2,199.9975,200.0648,391,85
0D20:15:21.253253000,x3,299.9924,300.054,90,84
0D20:15:21.253270000,x3,299.9146,300.0192,197,330
0D20:15:21.403071000,x2,199.9879,200.0795,445,96
0D20:15:21.403081000,x2,199.9111,200.0709,156,290
0D20:15:21.413082000,x3,299.9823,300.0419,294,448
0D20:15:21.413099000,x3,299.9427,300.025,402,152
0D20:15:21.733088000,x2,199.9964,200.0981,427,163
0D20:15:21.733105000,x2,199.9553,200.0252,103,377
0D20:15:21.862377000,x3,299.9246,300.056,465,459
0D20:15:21.862381000,x3,299.9358,300.0779,395,352
0D20:15:21.972818000,x3,299.9038,300.0688,453,241
0D20:15:21.972824000,x3,299.9984,300.035,424,395
0D20:15:22.103411000,x2,199.9719,200.0727,29,325
0D20:15:22.103419000,x2,199.9354,200.0659,109,34
0D20:15:22.133340000,x2,199.964,200.0507,486,358
0D20:15:22.133357000,x2,199.9702,200.0755,187,28
0D20:15:22.193069000,x3,299.9787,300.0475,157,449
0D20:15:22.193082000,x3,299.9489,300.028,133,48
0D20:15:22.302175000,x3,299.9053,300.0404,475,34
0D20:15:22.302178000,x3,299.9934,300.0878,323,377
0D20:15:22.322408000,x2,199.9728,200.0488,232,109
0D20:15:22.322414000,x2,199.9409,200.0396,489,220
0D20:15:22.432463000,x1,99.94487,100.0277,381,5
0D20:15:22.432467000,x1,99.97458,100.0419,374,63
0D20:15:22.553430000,x3,299.9589,300.0965,359,293
0D20:15:22.553435000,x3,299.934,300.0369,201,153
0D20:15:22.712619000,x1,99.93269,100.0979,482,34
0D20:15:22.712626000,x1,99.96281,100.0143,122,117
0D20:15:22.722701000,x1,99.91287,100.0992,461,189
0D20:15:22.722708000,x1,99.92362,100.0592,284,166
0D20:15:22.732588000,x1,99.95852,100.0055,397,177
0D20:15:22.732595000,x1,99.97678,100.0663,382,423
0D20:15:22.852646000,x3,299.9972,300.0066,362,297
0D20:15:22.852653000,x3,299.9244,300.0387,434,462
0D20:15:22.922592000,x2,199.9895,200.0484,142,474
0D20:15:22.922599000,x2,199.9903,200.0764,137,493
0D20:15:22.963673000,x3,299.942,300.0081,262,398
0D20:15:22.963690000,x3,299.9356,300.021,441,170
0D20:15:23.052443000,x1,99.93708,100.0763,413,54
0D20:15:23.052453000,x1,99.98799,100.003,313,473
0D20:15:23.082907000,x1,99.91776,100.0772,278,93
0D20:15:23.082917000,x1,99.9061,100.0734,149,284
0D20:15:23.132734000,x3,299.9067,300.0807,6,12
0D20:15:23.132743000,x3,299.9114,300.0007,155,464
0D20:15:23.212606000,x2,199.9557,200.0067,206,230
0D20:15:23.212612000,x2,199.9733,200.0381,436,481
0D20:15:23.232866000,x2,199.9568,200.0828,497,333
0D20:15:23.232872000,x2,199.9224,200.0942,247,30
0D20:15:23.332785000,x3,299.9526,300.0624,35,42
0D20:15:23.332790000,x3,299.9079,300.0212,16,66
0D20:15:23.342338000,x1,99.92872,100.0189,45,287
0D20:15:23.342343000,x1,99.96125,100.0275,359,257
0D20:15:23.713093000,x1,99.9923,100.0558,174,387
0D20:15:23.713103000,x1,99.91988,100.0734,373,239
0D20:15:24.293598000,x3,299.9734,300.0044,244,162
0D20:15:24.293614000,x3,299.9965,300.055,336,381
0D20:15:24.373901000,x3,299.9671,300.0877,351,147
0D20:15:24.373918000,x3,299.992,300.088,212,167
0D20:15:24.483384000,x1,99.95536,100.0251,320,468
0D20:15:24.483396000,x1,99.90129,100.0208,108,36
0D20:15:24.602842000,x1,99.95428,100.0548,456,168
0D20:15:24.602847000,x1,99.97177,100.072,76,171
0D20:15:24.683189000,x1,99.94966,100.0577,107,359
0D20:15:24.683206000,x1,99.95631,100.0602,483,381
0D20:15:24.762675000,x2,199.9043,200.0022,413,322
0D20:15:24.762682000,x2,199.9299,200.0661,66,364
0D20:15:24.773119000,x3,299.9467,300.0604,352,409
0D20:15:24.773126000,x3,299.9709,300.0145,131,227
0D20:15:25.012637000,x1,99.91571,100.087,34,50
0D20:15:25.012647000,x1,99.91232,100.0295,138,148
0D20:15:25.064569000,x2,199.9369,200.0936,471,248
0D20:15:25.064580000,x2,199.9574,200.0848,239,13
0D20:15:25.083314000,x1,99.90234,100.0141,70,77
0D20:15:25.083319000,x1,99.98016,100.035,299,158
0D20:15:25.282428000,x1,99.94434,100.0717,447,413
0D20:15:25.282432000,x1,99.94697,100.0552,214,209
0D20:15:25.642655000,x1,99.97618,100.0506,16,389
0D20:15:25.642660000,x1,99.97489,100.0081,286,215
0D20:15:25.712651000,x1,99.92825,100.0222,233,485
0D20:15:25.712656000,x1,99.92392,100.0304,399,384
0D20:15:25.942616000,x1,99.98977,100.0407,84,123
0D20:15:25.942622000,x1,99.9143,100.0262,82,12
0D20:15:26.193047000,x3,299.9564,300.0802,137,267
0D20:15:26.193064000,x3,299.9222,300.0147,481,297
0D20:15:26.283765000,x1,99.93399,100.0571,292,195
0D20:15:26.283781000,x1,99.90868,100.0276,311,207
0D20:15:26.292894000,x1,99.96538,100.0019,359,207
0D20:15:26.292906000,x1,99.97892,100.0558,263,456
0D20:15:26.332919000,x2,199.9378,200.0498,488,166
0D20:15:26.332929000,x2,199.9958,200.0196,215,243
0D20:15:26.452676000,x1,99.91132,100.0434,455,361
0D20:15:26.452681000,x1,99.91826,100.0613,97,442
0D20:15:26.573565000,x2,199.9407,200.0477,71,295
0D20:15:26.573578000,x2,199.9447,200.0868,437,378
0D20:15:26.593462000,x3,299.9961,300.0396,68,474
0D20:15:26.593473000,x3,299.9576,300.0764,417,324
0D20:15:26.723762000,x1,99.97492,100.0039,320,167
0D20:15:26.723766000,x1,99.95866,100.0222,312,66
0D20:15:26.813457000,x2,199.9746,200.0071,259,444
0D20:15:26.813463000,x2,199.9259,200.0611,237,220
0D20:15:26.943742000,x1,99.9779,100.0938,45,274
0D20:15:26.943755000,x1,99.94014,100.0861,425,174
0D20:15:26.983031000,x3,299.9139,300.0698,362,129
0D20:15:26.983043000,x3,299.9794,300.0357,220,121
0D20:15:27.203509000,x1,99.90449,100.0457,83,136
0D20:15:27.203526000,x1,99.92451,100.0384,476,182
0D20:15:27.343154000,x3,299.9998,300.0318,471,420
0D20:15:27.343164000,x3,299.9113,300.0155,339,390
0D20:15:27.613187000,x1,99.93479,100.0801,211,86
0D20:15:27.613192000,x1,99.94361,100.038,196,222
0D20:15:27.652864000,x3,299.9921,300.0786,142,81
0D20:15:27.652868000,x3,299.9333,300.0532,411,340
0D20:15:27.672862000,x2,199.9791,200.0032,320,69
0D20:15:27.672867000,x2,199.9593,200.0286,136,191
0D20:15:27.812983000,x1,99.96317,100.0173,304,189
0D20:15:27.812995000,x1,99.94297,100.0337,233,298
0D20:15:27.893964000,x3,299.9133,300.0235,467,96
0D20:15:27.893976000,x3,299.9822,300.0825,126,201
0D20:15:27.913037000,x3,299.9868,300.0747,399,461
0D20:15:27.913055000,x3,299.9003,300.0492,194,246
