time,sym,price,qty
0D16:57:01.669076000,x2,200.0316,240
0D16:57:01.669083000,x2,200.0736,49
0D16:57:01.679217000,x1,99.95423,197
0D16:57:01.679221000,x1,99.90447,14
0D16:57:01.688401000,x2,200.0313,441
0D16:57:01.688404000,x2,200.0324,198
0D16:57:01.698382000,x3,300.012,30
0D16:57:01.698386000,x3,300.046,282
0D16:57:01.708993000,x3,299.9555,246
0D16:57:01.708997000,x3,299.9245,259
0D16:57:01.718995000,x3,300.0193,499
0D16:57:01.719000000,x3,299.9415,9
0D16:57:01.729182000,x1,100.0828,385
0D16:57:01.729186000,x1,100.0181,402
0D16:57:01.739350000,x3,300.0244,182
0D16:57:01.739354000,x3,300.0218,356
0D16:57:01.748372000,x2,199.9509,85
0D16:57:01.748377000,x2,200.073,323
0D16:57:01.758505000,x1,100.0773,375
0D16:57:01.758510000,x1,100.0927,110
0D16:57:01.778935000,x3,300.0829,456
0D16:57:01.778939000,x3,299.941,96
0D16:57:01.789142000,x1,100.0601,253
0D16:57:01.789147000,x1,99.93717,201
0D16:57:01.808321000,x2,199.9352,164
0D16:57:01.808327000,x2,200.0232,88
0D16:57:01.828790000,x3,299.9877,38
0D16:57:01.828795000,x3,299.9967,264
0D16:57:01.839432000,x1,99.98508,421
0D16:57:01.839437000,x1,100.0403,13
0D16:57:01.848315000,x3,300.0252,332
0D16:57:01.848320000,x3,299.9951,472
0D16:57:01.858558000,x2,199.9239,298
0D16:57:01.858564000,x2,199.9719,245
0D16:57:01.869285000,x3,300.0531,335
0D16:57:01.869290000,x3,300.0092,397
0D16:57:01.878628000,x2,199.9001,324
0D16:57:01.878635000,x2,200.0599,479
0D16:57:01.888706000,x2,199.9255,301
0D16:57:01.888711000,x2,200.0728,177
0D16:57:01.898461000,x3,300.0918,422
0D16:57:01.898464000,x3,299.967,84
0D16:57:01.918953000,x2,199.9829,377
0D16:57:01.918957000,x2,200.0117,424
0D16:57:01.929147000,x2,199.9251,81
0D16:57:01.929151000,x2,199.9548,233
0D16:57:01.939462000,x3,300.0863,288
0D16:57:01.939467000,x3,300.038,486
0D16:57:01.948733000,x1,99.99149,44
0D16:57:01.948750000,x1,100.0705,252
0D16:57:01.959762000,x1,99.92446,296
0D16:57:01.959766000,x1,99.99209,474
0D16:57:01.969302000,x2,199.9586,262
0D16:57:01.969317000,x2,200.0668,255
0D16:57:01.979108000,x3,299.9827,381
0D16:57:01.979123000,x3,300.022,61
0D16:57:01.989053000,x3,300.02,308
0D16:57:01.989068000,x3,300.0885,240
0D16:57:02.009766000,x2,199.9029,230
0D16:57:02.009777000,x2,199.9195,35
0D16:57:02.018952000,x1,100.0498,491
0D16:57:02.018968000,x1,100.0829,5
0D16:57:02.029203000,x2,199.9073,446
0D16:57:02.029218000,x2,199.9527,139
0D16:57:02.039544000,x3,299.9798,436
0D16:57:02.039555000,x3,300.0243,103
0D16:57:02.048962000,x3,300.0175,475
0D16:57:02.048971000,x3,299.9481,68
0D16:57:02.059214000,x3,300.0168,33
0D16:57:02.059223000,x3,299.9194,283
0D16:57:02.068939000,x2,200.0707,369
0D16:57:02.068948000,x2,199.9969,456
0D16:57:02.079475000,x1,100.0205,121
0D16:57:02.079483000,x1,99.9057,288
0D16:57:02.089160000,x1,100.0536,454
0D16:57:02.089169000,x1,100.0025,349
0D16:57:02.098931000,x1,99.92906,444
0D16:57:02.098939000,x1,100.0872,90
0D16:57:02.108757000,x3,299.9251,254
0D16:57:02.108764000,x3,300.0303,119
0D16:57:02.118800000,x3,300.0605,435
0D16:57:02.118810000,x3,300.0462,312
0D16:57:02.128768000,x1,100.0924,163
0D16:57:02.128776000,x1,99.9138,381
0D16:57:02.139536000,x2,200.0307,224
0D16:57:02.139545000,x2,200.0198,48
0D16:57:02.148675000,x1,99.92743,251
0D16:57:02.148684000,x1,99.91413,183
0D16:57:02.158780000,x1,99.91577,253
0D16:57:02.158785000,x1,100.0625,196
0D16:57:02.168740000,x1,100.0206,260
0D16:57:02.168742000,x1,99.90126,446
0D16:57:02.188651000,x1,100.0277,306
0D16:57:02.188656000,x1,99.9414,76
0D16:57:02.198473000,x3,299.9237,482
0D16:57:02.198478000,x3,299.9452,159
0D16:57:02.209297000,x1,99.92356,271
0D16:57:02.209302000,x1,99.93966,54
0D16:57:02.218732000,x1,99.92265,94
0D16:57:02.218737000,x1,100.0264,378
0D16:57:02.228862000,x1,99.97385,370
0D16:57:02.228868000,x1,99.98861,44
0D16:57:02.239364000,x1,99.95331,486
0D16:57:02.239371000,x1,100.0339,230
0D16:57:02.249065000,x3,299.914,84
0D16:57:02.249071000,x3,300.061,371
0D16:57:02.258687000,x1,99.97366,304
0D16:57:02.258694000,x1,100.0595,424
0D16:57:02.269516000,x2,199.9572,330
0D16:57:02.269532000,x2,199.9178,342
0D16:57:02.279472000,x2,199.9988,163
0D16:57:02.279488000,x2,199.9263,84
0D16:57:02.289492000,x3,299.9534,379
0D16:57:02.289508000,x3,300.0812,164
0D16:57:02.299130000,x1,99.98778,103
0D16:57:02.299145000,x1,99.91688,115
0D16:57:02.309169000,x1,99.99281,384
0D16:57:02.309184000,x1,100.0797,423
0D16:57:02.319029000,x3,300.0198,326
0D16:57:02.319038000,x3,299.9007,469
0D16:57:02.328865000,x1,99.98534,362
0D16:57:02.328872000,x1,99.95548,37
0D16:57:02.338785000,x1,99.94879,465
0D16:57:02.338790000,x1,100.068,135
0D16:57:02.348708000,x1,99.91423,360
0D16:57:02.348713000,x1,100.0176,165
0D16:57:02.358276000,x2,199.9752,98
0D16:57:02.358280000,x2,199.9195,96
0D16:57:02.368864000,x3,299.9006,175
0D16:57:02.368869000,x3,299.9848,279
0D16:57:02.378913000,x1,99.92123,103
0D16:57:02.378917000,x1,100.0079,389
0D16:57:02.388862000,x2,199.9175,387
0D16:57:02.388866000,x2,199.917,236
0D16:57:02.398769000,x2,199.9398,111
0D16:57:02.398774000,x2,199.9559,246
0D16:57:02.408870000,x3,299.9811,377
0D16:57:02.408874000,x3,300.0898,178
0D16:57:02.418384000,x1,100.0503,30
0D16:57:02.418389000,x1,100.0801,221
0D16:57:02.429179000,x3,300.0593,35
0D16:57:02.429183000,x3,300.0784,331
0D16:57:02.438989000,x1,99.95111,51
0D16:57:02.438994000,x1,100.0995,120
0D16:57:02.459215000,x1,100.0936,449
0D16:57:02.459219000,x1,99.9852,152
0D16:57:02.468425000,x3,299.9063,180
0D16:57:02.468430000,x3,299.9636,28
0D16:57:02.478812000,x2,200.0921,9
0D16:57:02.478816000,x2,200.0473,498
0D16:57:02.489156000,x3,299.9292,52
0D16:57:02.489161000,x3,300.0993,355
0D16:57:02.498641000,x3,300.0432,412
0D16:57:02.498646000,x3,300.0208,220
0D16:57:02.509533000,x2,200.0717,444
0D16:57:02.509538000,x2,199.9086,117
0D16:57:02.519302000,x1,99.9763,233
0D16:57:02.519308000,x1,99.91175,30
0D16:57:02.529215000,x2,200.0138,213
0D16:57:02.529219000,x2,199.9353,262
0D16:57:02.539114000,x1,100.0195,142
0D16:57:02.539120000,x1,99.97444,355
0D16:57:02.549139000,x3,300.0034,126
0D16:57:02.549145000,x3,300.027,107
0D16:57:02.558948000,x1,100.0792,190
0D16:57:02.558953000,x1,99.9897,159
0D16:57:02.568955000,x3,299.9096,232
0D16:57:02.568976000,x3,299.9022,154
0D16:57:02.579727000,x1,100.0933,430
0D16:57:02.579742000,x1,100.0061,378
0D16:57:02.589734000,x1,99.90871,247
0D16:57:02.589750000,x1,99.9628,27
0D16:57:02.599669000,x3,300.0013,297
0D16:57:02.599680000,x3,300.0257,293
0D16:57:02.609667000,x1,100.0988,157
0D16:57:02.609675000,x1,99.93084,59
0D16:57:02.619458000,x3,299.9189,374
0D16:57:02.619466000,x3,299.9953,79
0D16:57:02.629407000,x3,300.0253,45
0D16:57:02.629414000,x3,300.0671,293
0D16:57:02.648733000,x2,199.9315,35
0D16:57:02.648739000,x2,199.9534,71
0D16:57:02.659656000,x1,99.96273,273
0D16:57:02.659661000,x1,100.0344,499
0D16:57:02.668355000,x1,99.98026,61
0D16:57:02.668359000,x1,100.0281,152
0D16:57:02.679359000,x2,199.9271,242
0D16:57:02.679374000,x2,200.0223,374
0D16:57:02.689219000,x3,300.0502,36
0D16:57:02.689234000,x3,299.9631,499
0D16:57:02.699230000,x2,199.9298,462
0D16:57:02.699245000,x2,200.0757,348
0D16:57:02.709079000,x1,99.98118,288
0D16:57:02.709091000,x1,99.9871,277
0D16:57:02.719193000,x1,99.97088,458
0D16:57:02.719204000,x1,99.99223,89
0D16:57:02.739162000,x2,199.9161,434
0D16:57:02.739172000,x2,200.0923,406
0D16:57:02.749153000,x1,99.93647,315
0D16:57:02.749163000,x1,99.95284,192
0D16:57:02.769280000,x3,300.0643,131
0D16:57:02.769283000,x3,299.9756,331
0D16:57:02.778589000,x2,199.912,215
0D16:57:02.778592000,x2,199.9081,88
0D16:57:02.789069000,x1,99.94727,436
0D16:57:02.789085000,x1,99.93366,404
0D16:57:02.799314000,x1,100.0899,314
0D16:57:02.799329000,x1,99.95505,439
0D16:57:02.809005000,x2,199.9282,468
0D16:57:02.809021000,x2,200.0124,260
0D16:57:02.819296000,x3,300.0638,349
0D16:57:02.819311000,x3,300.0365,387
0D16:57:02.829243000,x3,299.9069,270
0D16:57:02.829254000,x3,300.0007,56
0D16:57:02.839066000,x1,99.96141,440
0D16:57:02.839078000,x1,99.94028,132
0D16:57:02.849057000,x3,300.0743,36
0D16:57:02.849069000,x3,299.9914,249
0D16:57:02.859080000,x3,299.9246,426
0D16:57:02.859091000,x3,300.0564,468
0D16:57:02.869317000,x1,99.9261,417
0D16:57:02.869329000,x1,100.022,135
0D16:57:02.879263000,x1,100.0528,476
0D16:57:02.879275000,x1,99.90175,398
0D16:57:02.889578000,x2,199.9365,405
0D16:57:02.889590000,x2,199.9254,260
0D16:57:02.899036000,x1,99.96809,122
0D16:57:02.899047000,x1,99.96798,336
0D16:57:02.909789000,x1,99.98749,52
0D16:57:02.909800000,x1,100.0925,265
0D16:57:02.919006000,x1,99.95319,198
0D16:57:02.919017000,x1,100.0124,467
0D16:57:02.929136000,x2,199.9748,144
0D16:57:02.929147000,x2,200.0487,181
0D16:57:02.939467000,x1,99.90302,165
0D16:57:02.939478000,x1,99.96564,35
0D16:57:02.949406000,x1,99.97095,211
0D16:57:02.949417000,x1,100.01,38
0D16:57:02.958928000,x2,199.9784,66
0D16:57:02.958939000,x2,199.9989,447
0D16:57:02.969596000,x3,300.0063,338
0D16:57:02.969608000,x3,300.0896,16
0D16:57:02.979747000,x1,99.97264,260
0D16:57:02.979759000,x1,99.98653,302
0D16:57:02.989350000,x1,99.97337,289
0D16:57:02.989361000,x1,99.93978,442
0D16:57:02.999012000,x3,299.9573,202
0D16:57:02.999024000,x3,300.0844,87
0D16:57:03.009080000,x1,100.0852,180
0D16:57:03.009091000,x1,100.094,274
0D16:57:03.019862000,x1,99.97362,442
0D16:57:03.019873000,x1,100.0282,124
0D16:57:03.028902000,x1,99.95716,345
0D16:57:03.028914000,x1,100.0981,494
0D16:57:03.039047000,x2,200.0134,134
0D16:57:03.039058000,x2,200.0339,94
0D16:57:03.049883000,x3,299.9613,309
0D16:57:03.049892000,x3,299.9498,221
0D16:57:03.058647000,x3,299.9989,55
0D16:57:03.058657000,x3,299.9169,79
0D16:57:03.078547000,x1,99.9358,363
0D16:57:03.078555000,x1,100.064,283
0D16:57:03.089484000,x2,199.9039,206
0D16:57:03.089493000,x2,200.068,285
0D16:57:03.099188000,x3,299.9737,488
0D16:57:03.099196000,x3,300.0273,306
0D16:57:03.108498000,x1,100.0333,23
0D16:57:03.108501000,x1,99.90031,215
0D16:57:03.118546000,x3,300.0822,438
0D16:57:03.118549000,x3,300.0149,468
0D16:57:03.128406000,x2,199.9426,485
0D16:57:03.128410000,x2,199.9671,457
0D16:57:03.139129000,x3,300.0213,303
0D16:57:03.139134000,x3,299.9846,305
0D16:57:03.149620000,x2,200.0646,376
0D16:57:03.149624000,x2,200.0029,54
0D16:57:03.168452000,x2,200.0407,100
0D16:57:03.168457000,x2,199.9854,120
0D16:57:03.178326000,x2,199.9405,197
0D16:57:03.178330000,x2,199.9963,348
0D16:57:03.188771000,x2,200.0775,279
0D16:57:03.188777000,x2,199.953,410
0D16:57:03.198701000,x2,199.9834,344
0D16:57:03.198706000,x2,200.0953,403
0D16:57:03.208610000,x1,99.97271,178
0D16:57:03.208615000,x1,99.95377,282
0D16:57:03.219174000,x1,100.0157,499
0D16:57:03.219178000,x1,100.097,315
0D16:57:03.228973000,x3,299.949,151
0D16:57:03.228978000,x3,300.0528,120
0D16:57:03.238379000,x2,199.9116,134
0D16:57:03.238385000,x2,199.9529,2
0D16:57:03.248479000,x1,100.0607,386
0D16:57:03.248484000,x1,99.9971,186
0D16:57:03.258761000,x1,100.0691,67
0D16:57:03.258766000,x1,100.0632,120
0D16:57:03.268801000,x1,100.0279,255
0D16:57:03.268806000,x1,100.0196,171
0D16:57:03.279029000,x3,299.9355,462
0D16:57:03.279034000,x3,299.9368,33
0D16:57:03.289256000,x3,299.9914,400
0D16:57:03.289261000,x3,299.9615,305
0D16:57:03.298763000,x2,200.0253,465
0D16:57:03.298778000,x2,200.0363,149
0D16:57:03.309053000,x3,299.9838,358
0D16:57:03.309070000,x3,299.9809,23
0D16:57:03.329224000,x3,299.9604,317
0D16:57:03.329227000,x3,299.9007,465
0D16:57:03.338347000,x2,200.0469,153
0D16:57:03.338350000,x2,200.0436,107
0D16:57:03.348330000,x3,300.0523,362
0D16:57:03.348335000,x3,300.0387,314
0D16:57:03.358454000,x2,200.0576,348
0D16:57:03.358459000,x2,199.9145,260
0D16:57:03.368667000,x1,99.98017,135
0D16:57:03.368676000,x1,100.0572,264
0D16:57:03.379038000,x3,299.9245,268
0D16:57:03.379053000,x3,300.0621,290
0D16:57:03.389256000,x3,300.007,280
0D16:57:03.389271000,x3,300.0314,248
0D16:57:03.400023000,x1,100.0954,157
0D16:57:03.400039000,x1,99.93548,348
0D16:57:03.409078000,x2,200.0951,495
0D16:57:03.409093000,x2,200.0633,213
0D16:57:03.419120000,x2,199.9647,435
0D16:57:03.419136000,x2,199.9253,52
0D16:57:03.429357000,x3,299.9213,45
0D16:57:03.429369000,x3,300.0889,205
0D16:57:03.439781000,x3,300.094,171
0D16:57:03.439792000,x3,299.9905,137
0D16:57:03.449488000,x1,99.90114,476
0D16:57:03.449500000,x1,100.0162,191
0D16:57:03.459441000,x3,300.0697,305
0D16:57:03.459448000,x3,300.0333,258
0D16:57:03.468365000,x1,100.0938,11
0D16:57:03.468368000,x1,99.9475,291
0D16:57:03.478738000,x1,99.97409,13
0D16:57:03.478750000,x1,99.95126,426
0D16:57:03.489033000,x1,99.94825,289
0D16:57:03.489042000,x1,99.94089,200
0D16:57:03.498950000,x2,199.9737,433
0D16:57:03.498959000,x2,200.0872,257
0D16:57:03.508964000,x3,300.0974,10
0D16:57:03.508973000,x3,300.0138,2
0D16:57:03.519237000,x1,99.95688,273
0D16:57:03.519246000,x1,100.0044,266
0D16:57:03.529186000,x1,100.0947,431
0D16:57:03.529190000,x1,100.0358,191
0D16:57:03.538494000,x3,299.9963,468
0D16:57:03.538498000,x3,300.0996,30
0D16:57:03.548498000,x3,299.949,192
0D16:57:03.548503000,x3,300.0498,373
0D16:57:03.558897000,x1,100.0177,291
0D16:57:03.558902000,x1,99.91373,379
0D16:57:03.568493000,x3,300.0416,277
0D16:57:03.568497000,x3,300.0508,432
0D16:57:03.578955000,x3,299.9905,325
0D16:57:03.578960000,x3,299.9292,127
0D16:57:03.588927000,x1,100.0213,361
0D16:57:03.588931000,x1,100.0955,40
0D16:57:03.599178000,x2,199.9295,237
0D16:57:03.599194000,x2,199.9256,295
0D16:57:03.608939000,x2,199.9844,399
0D16:57:03.608955000,x2,199.9295,469
0D16:57:03.620139000,x1,99.93189,26
0D16:57:03.620154000,x1,99.99152,275
0D16:57:03.629853000,x2,200.0463,351
0D16:57:03.629865000,x2,199.9936,77
0D16:57:03.638870000,x1,100.0071,25
0D16:57:03.638885000,x1,99.9625,434
0D16:57:03.649469000,x3,299.9192,118
0D16:57:03.649475000,x3,300.0972,445
0D16:57:03.658895000,x2,199.9305,250
0D16:57:03.658900000,x2,200.0335,442
0D16:57:03.668824000,x1,99.96206,190
0D16:57:03.668829000,x1,100.0473,399
0D16:57:03.678929000,x2,199.9743,7
0D16:57:03.678933000,x2,200.0848,156
0D16:57:03.688922000,x2,199.9674,213
0D16:57:03.688925000,x2,199.9172,233
0D16:57:03.698362000,x2,199.961,210
0D16:57:03.698365000,x2,199.9218,400
0D16:57:03.708829000,x3,299.9107,230
0D16:57:03.708833000,x3,299.9657,0
0D16:57:03.719321000,x3,299.9056,322
0D16:57:03.719326000,x3,299.9621,460
0D16:57:03.729244000,x2,199.9119,277
0D16:57:03.729249000,x2,199.9733,180
0D16:57:03.739236000,x2,199.9145,483
0D16:57:03.739241000,x2,200.0298,299
0D16:57:03.748842000,x3,300.0608,401
0D16:57:03.748846000,x3,299.9145,425
0D16:57:03.759406000,x3,300.0312,373
0D16:57:03.759411000,x3,299.9921,404
0D16:57:03.769015000,x2,199.99,69
0D16:57:03.769019000,x2,200.0428,177
0D16:57:03.778777000,x2,199.9654,420
0D16:57:03.778781000,x2,200.0846,267
0D16:57:03.789472000,x1,99.98407,63
0D16:57:03.789477000,x1,100.0813,5
0D16:57:03.798373000,x1,99.94039,318
0D16:57:03.798377000,x1,100.0619,25
0D16:57:03.818932000,x3,299.9038,351
0D16:57:03.818936000,x3,300.0746,202
0D16:57:03.828647000,x1,99.95558,394
0D16:57:03.828652000,x1,99.96981,88
0D16:57:03.838757000,x1,100.0732,283
0D16:57:03.838772000,x1,100.0431,25
0D16:57:03.849077000,x2,199.9096,102
0D16:57:03.849093000,x2,199.9765,377
0D16:57:03.859070000,x1,100.0379,484
0D16:57:03.859075000,x1,100.0384,416
0D16:57:03.868558000,x3,299.9584,496
0D16:57:03.868562000,x3,300.0593,260
0D16:57:03.879174000,x1,99.93935,341
0D16:57:03.879178000,x1,99.9921,191
0D16:57:03.888483000,x2,199.9764,66
0D16:57:03.888488000,x2,199.9263,12
0D16:57:03.898885000,x1,99.92375,238
0D16:57:03.898889000,x1,99.9363,455
0D16:57:03.918430000,x3,299.9234,307
0D16:57:03.918434000,x3,299.9339,261
0D16:57:03.928356000,x3,299.9155,191
0D16:57:03.928360000,x3,300.0381,455
0D16:57:03.939283000,x1,99.95426,93
0D16:57:03.939288000,x1,99.95264,114
0D16:57:03.948704000,x1,99.98023,149
0D16:57:03.948709000,x1,100.0718,322
0D16:57:03.958708000,x1,100.0988,349
0D16:57:03.958713000,x1,100.0068,356
0D16:57:03.968952000,x2,199.9036,433
0D16:57:03.968957000,x2,199.9138,8
0D16:57:03.978780000,x1,99.9808,471
0D16:57:03.978784000,x1,99.92716,335
0D16:57:03.988598000,x3,299.9398,478
0D16:57:03.988633000,x3,300.0602,472
0D16:57:03.998866000,x1,100.0725,52
0D16:57:03.998871000,x1,99.91252,439
0D16:57:04.008884000,x1,99.98495,169
0D16:57:04.008889000,x1,99.95281,340
0D16:57:04.018780000,x2,200.0073,422
0D16:57:04.018785000,x2,200.0416,476
0D16:57:04.028570000,x3,299.911,169
0D16:57:04.028575000,x3,300.0044,63
0D16:57:04.038826000,x3,299.9606,130
0D16:57:04.038831000,x3,299.9013,196
0D16:57:04.048791000,x3,300.0663,87
0D16:57:04.048795000,x3,300.0486,143
0D16:57:04.059141000,x2,199.9968,76
0D16:57:04.059146000,x2,200.006,362
0D16:57:04.069076000,x3,300.0105,243
0D16:57:04.069080000,x3,300.0716,163
0D16:57:04.079186000,x1,100.0007,62
0D16:57:04.079220000,x1,99.90909,288
0D16:57:04.089220000,x3,300.0977,361
0D16:57:04.089224000,x3,299.9642,321
0D16:57:04.098335000,x1,100.0172,31
0D16:57:04.098340000,x1,99.96959,381
0D16:57:04.109154000,x1,100.0637,124
0D16:57:04.109158000,x1,99.96729,135
0D16:57:04.118673000,x3,299.9916,315
0D16:57:04.118678000,x3,300.0671,100
0D16:57:04.148993000,x1,100.0524,267
0D16:57:04.148997000,x1,100.0138,301
0D16:57:04.158975000,x2,200.0433,308
0D16:57:04.158980000,x2,200.0298,160
0D16:57:04.168650000,x2,199.9066,241
0D16:57:04.168654000,x2,200.0346,385
0D16:57:04.178430000,x1,100.0666,26
0D16:57:04.178435000,x1,100.0836,231
0D16:57:04.189251000,x2,199.917,199
0D16:57:04.189267000,x2,200.0829,159
0D16:57:04.199207000,x2,199.9525,115
0D16:57:04.199223000,x2,199.996,345
0D16:57:04.209133000,x2,200.0369,218
0D16:57:04.209148000,x2,199.909,26
0D16:57:04.219749000,x3,300.0028,109
0D16:57:04.219764000,x3,299.9699,438
0D16:57:04.229148000,x1,99.94507,34
0D16:57:04.229160000,x1,99.92444,157
0D16:57:04.239102000,x3,299.9378,54
0D16:57:04.239111000,x3,300.0284,215
0D16:57:04.248974000,x2,200.0538,348
0D16:57:04.248982000,x2,200.0361,78
0D16:57:04.258746000,x1,100.0098,360
0D16:57:04.258755000,x1,99.97539,296
0D16:57:04.268559000,x3,300.0795,343
0D16:57:04.268567000,x3,299.9056,165
0D16:57:04.278918000,x2,200.0017,91
0D16:57:04.278927000,x2,200.0521,45
0D16:57:04.289303000,x3,300.0964,368
0D16:57:04.289311000,x3,299.9917,150
0D16:57:04.298952000,x1,99.98704,187
0D16:57:04.298961000,x1,100.0541,179
0D16:57:04.319913000,x2,200.0738,248
0D16:57:04.319918000,x2,200.0653,153
0D16:57:04.329039000,x1,99.95101,306
0D16:57:04.329044000,x1,99.96461,318
0D16:57:04.338667000,x3,300.0403,336
0D16:57:04.338674000,x3,299.9057,430
0D16:57:04.348642000,x1,99.99831,330
0D16:57:04.348649000,x1,99.97694,474
0D16:57:04.358631000,x1,99.93388,391
0D16:57:04.358635000,x1,100.0334,250
0D16:57:04.369187000,x1,99.9013,214
0D16:57:04.369191000,x1,100.0139,170
0D16:57:04.379132000,x3,300.0316,258
0D16:57:04.379137000,x3,299.9514,198
0D16:57:04.389112000,x1,100.0121,16
0D16:57:04.389117000,x1,99.94721,464
0D16:57:04.399029000,x3,299.9045,438
0D16:57:04.399061000,x3,300.0432,412
0D16:57:04.428999000,x2,200.0537,22
0D16:57:04.429014000,x2,200.013,486
0D16:57:04.439403000,x2,200.0998,411
